GPA,Test Score,Extracurricular Activities,Volunteer Hours,Recommendation Letters,Essay Score,Accepted
3.29,1600,0,15,Good,Above Average,No
3.32,1600,2,14,Good,Below Average,No
2.91,1600,5,32,Average,Poor,No
3.95,1600,2,8,Excellent,Good,Yes
3.39,1600,5,31,Excellent,Below Average,Yes
2.72,1600,0,0,Excellent,Below Average,No
3.46,1600,2,33,Excellent,Below Average,Yes
2.81,1600,1,15,Bad,Poor,No
3.51,1600,2,21,Excellent,Above Average,Yes
3.66,1600,4,27,Excellent,Average,Yes
2.87,1600,3,26,Excellent,Below Average,Yes
3.59,1600,4,54,Excellent,Good,Yes
3.37,1600,4,26,Good,Above Average,Yes
3.53,1600,7,38,Excellent,Poor,Yes
3.96,1600,1,20,Excellent,Good,Yes
3.1,1600,4,4,Bad,Average,No
2.9,1600,6,40,Good,Weak,Yes
2.84,1600,5,31,Average,Below Average,No
2.87,1600,1,5,Bad,Below Average,No
3.17,1600,6,45,Average,Poor,Yes
3.34,1600,4,30,Good,Average,Yes
3.31,1600,7,26,Excellent,Average,Yes
3.53,1600,4,23,Average,Above Average,Yes
3.21,1600,5,6,Good,Poor,Yes
3.78,1600,6,42,,Above Average,Yes
3.09,1600,4,32,Excellent,Weak,Yes
4,1600,5,27,Good,Below Average,Yes
3.45,1600,1,20,Good,Average,Yes
2.86,1600,4,17,Average,Below Average,No
2.77,1600,3,15,,Poor,No
3.39,1600,1,19,Good,Average,No
3.11,1600,7,38,Excellent,Below Average,Yes
3.49,1600,2,19,Average,Below Average,No
3.39,1600,3,19,Average,Below Average,No
3.17,1600,4,25,Good,Below Average,Yes
2.86,1600,3,21,Bad,Poor,No
2.59,1600,7,37,Bad,Poor,No
3.02,1600,1,18,Average,Below Average,No
3.54,1600,4,23,Excellent,Average,Yes
3.29,1600,7,45,Bad,Average,No
2.7,1600,4,22,Average,Weak,No
3.27,1600,6,24,Excellent,Average,Yes
3.35,1600,3,34,Good,Below Average,Yes
2.85,1600,8,54,Average,Poor,No
3.26,1600,6,62,Good,Below Average,Yes
3.22,1600,1,4,Good,Poor,No
2.74,1600,4,27,Good,Poor,No
