Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Condition,Price
Suburban,2133.0,2.0,3,2018,,324939.0
Urban,2402.0,2.0,3,1992,5.0,518115.0
Urban,,1.0,3,1988,2.0,468852.0
Suburban,1460.0,2.0,3,1952,2.0,255445.0
Urban,1319.0,3.0,4,2012,1.0,292011.0
Suburban,3893.0,6.0,3,2020,1.0,591919.0
Rural,3615.0,4.0,1,1980,5.0,437257.0
Urban,1385.0,5.0,2,1987,2.0,378170.0
Urban,3805.0,6.0,1,1984,3.0,677160.0
Rural,867.0,5.0,1,1955,2.0,177404.0
Rural,3329.0,1.0,1,1958,2.0,330569.0
Suburban,2755.0,1.0,3,1985,5.0,402248.0
Rural,2394.0,2.0,1,1955,2.0,264698.0
Urban,3252.0,6.0,2,1964,2.0,604332.0
Suburban,2697.0,5.0,4,1983,3.0,388812.0
Urban,1244.0,1.0,1,1992,3.0,261935.0
Urban,2094.0,5.0,2,1989,4.0,515726.0
Urban,2210.0,1.0,3,1962,2.0,357002.0
Suburban,3974.0,2.0,1,2009,1.0,491097.0
Urban,1863.0,4.0,3,1969,1.0,368343.0
Rural,1187.0,3.0,1,2011,5.0,242284.0
Urban,,4.0,2,1992,4.0,710673.0
Rural,3490.0,1.0,3,1988,4.0,361529.0
Urban,3226.0,5.0,3,1952,4.0,671105.0
Suburban,2642.0,1.0,4,1995,4.0,410214.0
Urban,3433.0,1.0,4,2017,2.0,529583.0
Rural,1867.0,5.0,2,1989,4.0,334537.0
Rural,3720.0,5.0,1,1958,4.0,442162.0
Rural,3392.0,2.0,2,1959,1.0,321622.0
Urban,2216.0,3.0,3,1984,3.0,460686.0
Rural,3762.0,,1,1998,,453944.0
Urban,1139.0,3.0,1,1964,3.0,287070.0
Rural,3781.0,2.0,3,2006,4.0,408560.0
Rural,1436.0,1.0,3,2009,5.0,225789.0
Rural,3046.0,4.0,4,1970,1.0,342588.0
Rural,,5.0,3,1988,5.0,374596.0
Suburban,1469.0,6.0,2,2009,,285338.0
Rural,1529.0,1.0,3,1954,3.0,221734.0
Urban,3296.0,6.0,4,1952,3.0,667315.0
Rural,2248.0,5.0,4,2012,4.0,345704.0
Urban,3605.0,6.0,2,2005,1.0,607220.0
Urban,,2.0,2,1953,,632855.0
Urban,2188.0,3.0,1,1952,3.0,398879.0
Urban,1748.0,6.0,4,2012,2.0,477953.0
Rural,3980.0,2.0,3,1970,1.0,366244.0
Suburban,2250.0,3.0,3,1982,3.0,392774.0
Rural,3713.0,5.0,2,1987,3.0,439023.0
Suburban,3982.0,6.0,2,2018,2.0,552847.0
Urban,1400.0,4.0,1,2023,3.0,326119.0
Urban,1442.0,3.0,4,1967,3.0,398947.0
Urban,3275.0,5.0,4,1984,2.0,594448.0
Urban,1912.0,5.0,4,1994,2.0,431029.0
Rural,2504.0,3.0,3,1954,2.0,299545.0
Rural,2838.0,2.0,2,2019,5.0,350458.0
Urban,1435.0,2.0,4,1966,3.0,388812.0
Rural,1613.0,5.0,2,1973,5.0,300996.0
Suburban,3987.0,5.0,1,2022,2.0,562239.0
Urban,3369.0,2.0,2,2004,3.0,542806.0
Urban,1591.0,5.0,1,1953,3.0,409919.0
Suburban,2253.0,1.0,2,1963,2.0,334533.0
Urban,2102.0,6.0,3,1976,5.0,578891.0
Urban,3212.0,3.0,4,1977,1.0,544494.0
Rural,1319.0,1.0,3,1971,,237309.0
Rural,1707.0,1.0,2,1993,5.0,252713.0
Suburban,1463.0,3.0,3,1971,1.0,252392.0
Suburban,1276.0,2.0,2,1999,2.0,234303.0
Suburban,2323.0,1.0,1,2022,2.0,287208.0
Suburban,1652.0,2.0,3,2020,1.0,242331.0
Rural,1143.0,,3,1997,1.0,177582.0
Urban,1671.0,6.0,3,1986,3.0,453343.0
Urban,1803.0,4.0,4,1977,4.0,489682.0
Urban,1856.0,6.0,3,2022,1.0,461710.0
Urban,3400.0,,1,1999,2.0,603820.0
Rural,989.0,3.0,1,2007,5.0,214880.0
Rural,1906.0,6.0,1,2018,5.0,346119.0
Rural,3919.0,1.0,1,1984,2.0,359941.0
Urban,1264.0,1.0,2,1979,2.0,264391.0
Urban,3880.0,5.0,4,1958,5.0,757267.0
Suburban,3546.0,5.0,2,1984,4.0,578152.0
Rural,1347.0,3.0,2,1956,1.0,186815.0
Urban,3316.0,1.0,2,1963,2.0,518511.0
Urban,3988.0,4.0,4,1980,5.0,736911.0
Rural,1163.0,5.0,3,1997,2.0,218222.0
Suburban,2060.0,1.0,2,1953,2.0,264603.0
Urban,1571.0,3.0,2,1959,5.0,398077.0
Urban,2255.0,1.0,2,1959,1.0,349532.0
Suburban,2264.0,3.0,1,2013,5.0,397967.0
Rural,1335.0,1.0,4,1954,3.0,209209.0
Urban,1047.0,4.0,3,1993,2.0,388812.0
Rural,2964.0,6.0,4,1983,4.0,414636.0
Rural,3514.0,4.0,4,1974,1.0,373671.0
Suburban,2405.0,3.0,1,1951,2.0,326316.0
Rural,1600.0,2.0,4,2018,4.0,241269.0
Urban,1898.0,5.0,2,1973,4.0,463209.0
Suburban,1723.0,2.0,1,2015,,250895.0
Suburban,2458.0,1.0,2,1960,2.0,316682.0
Urban,2907.0,5.0,4,2015,5.0,636019.0
Urban,2048.0,4.0,3,2021,3.0,471661.0
Urban,2867.0,6.0,4,1994,2.0,591594.0
Rural,3359.0,6.0,4,2016,3.0,445683.0
Suburban,1122.0,1.0,4,1992,2.0,217064.0
Urban,2960.0,1.0,1,2004,5.0,527405.0
Urban,2528.0,2.0,2,1986,1.0,402835.0
Suburban,924.0,5.0,4,1961,2.0,303935.0
Rural,2794.0,3.0,3,1999,4.0,358909.0
Suburban,3964.0,1.0,3,1996,3.0,482436.0
Suburban,3827.0,6.0,4,1961,4.0,645640.0
Urban,2407.0,4.0,4,2010,2.0,473135.0
Urban,1089.0,,3,1979,3.0,340176.0
Urban,,1.0,1,1990,4.0,403605.0
Rural,1297.0,4.0,1,1964,1.0,388812.0
Urban,1600.0,2.0,4,1970,5.0,441348.0
Urban,1337.0,1.0,2,1957,1.0,240689.0
Rural,2056.0,1.0,3,1975,,271004.0
Urban,1408.0,3.0,3,2002,2.0,329875.0
Urban,1957.0,5.0,2,1983,1.0,382470.0
Urban,3473.0,4.0,2,1952,4.0,603686.0
Urban,3129.0,5.0,2,2002,5.0,631091.0
Urban,1028.0,1.0,3,1967,3.0,280190.0
Suburban,3587.0,6.0,1,2003,4.0,554924.0
Urban,2708.0,2.0,2,1969,5.0,508982.0
Rural,2495.0,5.0,1,2009,1.0,273706.0
Suburban,2503.0,5.0,2,1975,1.0,363082.0
Rural,3718.0,6.0,1,2007,2.0,427520.0
Rural,2616.0,3.0,4,1989,1.0,309892.0
Suburban,1678.0,2.0,3,1972,3.0,310535.0
Suburban,3073.0,5.0,4,2010,1.0,467295.0
Rural,3948.0,1.0,4,1993,3.0,446785.0
Rural,1781.0,3.0,4,1961,4.0,284374.0
Rural,3032.0,5.0,4,2023,5.0,470006.0
Rural,3349.0,6.0,1,1958,3.0,404457.0
Rural,1605.0,1.0,3,1994,3.0,229206.0
Rural,2470.0,2.0,1,2008,3.0,293390.0
Urban,2393.0,5.0,1,1957,5.0,556142.0
Suburban,2842.0,4.0,4,1952,1.0,441059.0
Suburban,1280.0,4.0,4,2010,1.0,291291.0
Urban,3171.0,4.0,1,2004,4.0,553150.0
Suburban,2450.0,4.0,4,1963,3.0,433838.0
Urban,3320.0,1.0,4,1971,1.0,484389.0
Suburban,2092.0,5.0,3,1978,5.0,388812.0
Urban,3359.0,4.0,2,1952,3.0,590301.0
Urban,1592.0,5.0,4,2008,1.0,378490.0
Urban,1760.0,2.0,4,2008,3.0,382047.0
Urban,2861.0,,2,1991,3.0,458004.0
Rural,828.0,5.0,4,1986,1.0,202930.0
Urban,1228.0,2.0,2,2023,1.0,223085.0
Rural,2757.0,6.0,2,1996,5.0,392872.0
Rural,2302.0,2.0,3,1978,5.0,342392.0
Suburban,3532.0,2.0,4,1994,5.0,520295.0
Rural,2318.0,6.0,4,1951,4.0,392023.0
Urban,2467.0,2.0,1,1980,3.0,448405.0
Urban,1731.0,5.0,3,1999,3.0,414234.0
Rural,3914.0,6.0,4,2004,5.0,542280.0
Suburban,2299.0,3.0,2,2011,2.0,348968.0
Suburban,2939.0,2.0,4,1969,5.0,506224.0
Rural,3472.0,5.0,2,1987,2.0,417739.0
Rural,3907.0,4.0,4,2002,5.0,495075.0
Rural,1923.0,5.0,2,1993,2.0,262075.0
Urban,1204.0,6.0,2,1987,2.0,339128.0
Urban,3489.0,1.0,4,1999,,581327.0
Rural,1182.0,2.0,2,1978,5.0,236772.0
Suburban,3568.0,4.0,4,1964,3.0,551516.0
Rural,3688.0,1.0,3,1970,1.0,351833.0
Urban,1898.0,4.0,1,2011,4.0,416088.0
Rural,2368.0,6.0,4,2023,1.0,315858.0
Urban,3130.0,4.0,3,1975,4.0,633677.0
Urban,2880.0,1.0,2,1959,3.0,482841.0
Suburban,883.0,3.0,4,1992,1.0,219285.0
Urban,3869.0,,1,2016,3.0,632841.0
Rural,2964.0,1.0,1,1979,5.0,349292.0
Rural,,3.0,3,2001,4.0,237520.0
Suburban,2745.0,2.0,4,2001,1.0,386207.0
Urban,2946.0,1.0,2,1977,1.0,446954.0
Urban,3678.0,4.0,2,1968,1.0,558123.0
Suburban,1792.0,3.0,4,1978,3.0,334038.0
Urban,2655.0,4.0,4,1981,5.0,569431.0
Suburban,2820.0,3.0,4,1994,1.0,392947.0
Rural,3147.0,5.0,1,1996,3.0,390952.0
Suburban,3096.0,5.0,4,1991,3.0,545625.0
Rural,2387.0,6.0,4,1993,2.0,348549.0
Suburban,1958.0,1.0,4,1986,5.0,369872.0
Suburban,3528.0,2.0,3,1969,2.0,451529.0
Urban,2209.0,4.0,4,1952,3.0,491413.0
Suburban,3964.0,5.0,1,1971,2.0,570333.0
Suburban,3001.0,3.0,3,1989,1.0,407694.0
Suburban,2483.0,3.0,1,1963,2.0,330797.0
Urban,2794.0,4.0,4,1988,5.0,613601.0
Suburban,1695.0,6.0,1,1997,4.0,370077.0
Rural,3025.0,2.0,4,1962,3.0,356993.0
Urban,3026.0,6.0,3,1952,3.0,648213.0
Urban,,6.0,4,1951,2.0,553783.0
Rural,1132.0,3.0,3,2017,5.0,276331.0
Rural,1249.0,1.0,4,1999,3.0,185162.0
Suburban,3391.0,5.0,1,1957,5.0,568051.0
Suburban,3020.0,3.0,2,2014,2.0,393374.0
Rural,1710.0,6.0,4,2003,2.0,286266.0
Rural,3064.0,,1,1957,3.0,305308.0
Rural,1513.0,4.0,1,1987,2.0,195664.0
Urban,1852.0,1.0,4,1955,1.0,328222.0
Urban,3092.0,5.0,1,2017,1.0,538894.0
Rural,1212.0,5.0,2,1969,4.0,264726.0
Urban,2199.0,3.0,4,1952,2.0,437890.0
Suburban,1276.0,2.0,1,1964,2.0,240744.0
Urban,3148.0,6.0,1,2003,1.0,541044.0
Rural,2679.0,6.0,2,1978,1.0,365327.0
Rural,3502.0,6.0,4,1957,1.0,411634.0
Rural,1377.0,,2,1981,2.0,204827.0
Rural,1873.0,,4,1955,1.0,224068.0
Urban,,2.0,1,2012,4.0,346126.0
Urban,2111.0,1.0,1,2004,3.0,336707.0
Rural,1761.0,5.0,1,1993,3.0,296297.0
Suburban,2784.0,6.0,2,1997,5.0,505299.0
Urban,3572.0,3.0,3,2003,3.0,623679.0
Rural,3604.0,6.0,2,1976,5.0,451901.0
Suburban,2255.0,4.0,4,1978,5.0,428408.0
Urban,898.0,4.0,3,2015,3.0,323768.0
Urban,3088.0,1.0,4,1963,1.0,504152.0
Urban,3957.0,3.0,1,1965,5.0,653345.0
Urban,2603.0,2.0,3,1999,2.0,440347.0
Urban,2790.0,4.0,4,1985,2.0,545721.0
Urban,1559.0,1.0,2,2022,1.0,281683.0
Suburban,,1.0,4,2020,4.0,340109.0
Urban,3993.0,2.0,1,1952,4.0,609575.0
Rural,2956.0,3.0,4,2002,,376007.0
Suburban,3302.0,2.0,3,2022,1.0,401994.0
Urban,819.0,4.0,3,1977,1.0,239350.0
Suburban,2262.0,5.0,1,1970,2.0,388812.0
Suburban,2135.0,5.0,1,2000,2.0,353407.0
Suburban,3599.0,1.0,3,2021,5.0,513039.0
Urban,3677.0,2.0,1,1964,5.0,628696.0
Suburban,2910.0,2.0,1,1965,1.0,347269.0
Suburban,2978.0,4.0,3,2004,1.0,445710.0
Urban,3823.0,4.0,1,2018,1.0,566775.0
Suburban,2880.0,1.0,1,1968,1.0,307998.0
Urban,2664.0,1.0,3,1997,3.0,439829.0
Urban,1630.0,2.0,2,2023,1.0,300031.0
Suburban,1726.0,2.0,3,1954,1.0,240634.0
Rural,999.0,6.0,3,1958,5.0,295334.0
Suburban,3668.0,4.0,4,1991,1.0,502901.0
Suburban,2933.0,4.0,4,1988,5.0,541479.0
Rural,2963.0,2.0,4,1979,3.0,365262.0
Rural,1308.0,5.0,2,1956,4.0,271810.0
Rural,2950.0,6.0,3,1971,4.0,417519.0
Urban,2315.0,2.0,1,1999,4.0,407147.0
Suburban,2324.0,6.0,1,2022,5.0,431168.0
Urban,3912.0,6.0,4,1967,5.0,798554.0
Urban,2785.0,,3,1961,2.0,544227.0
Suburban,2116.0,2.0,1,1986,2.0,320406.0
Urban,2333.0,4.0,3,1979,5.0,522195.0
Rural,1300.0,1.0,4,1967,2.0,179431.0
Suburban,1804.0,5.0,1,1987,4.0,341161.0
Suburban,1545.0,1.0,3,1992,3.0,291926.0
Rural,3985.0,4.0,4,2001,2.0,477074.0
Suburban,3970.0,2.0,4,1976,2.0,542508.0
Rural,3662.0,3.0,2,1954,2.0,402876.0
Suburban,807.0,2.0,2,1959,2.0,182778.0
Urban,3313.0,4.0,4,1998,1.0,574312.0
Suburban,3900.0,5.0,3,2006,4.0,388812.0
Urban,3151.0,1.0,3,1984,2.0,512479.0
Rural,1999.0,5.0,3,1962,2.0,273976.0
Rural,1134.0,2.0,1,2018,1.0,161191.0
Rural,3570.0,4.0,4,1952,2.0,428016.0
Suburban,3864.0,5.0,3,1968,3.0,607147.0
Suburban,1344.0,2.0,3,2003,5.0,319609.0
Rural,1182.0,3.0,4,1993,4.0,255384.0
Suburban,3357.0,4.0,4,2010,3.0,503468.0
Suburban,1469.0,6.0,3,2011,3.0,354587.0
Rural,3233.0,2.0,2,1987,4.0,345984.0
Urban,2482.0,3.0,2,2010,3.0,492781.0
Urban,1188.0,4.0,2,2013,3.0,355732.0
Urban,2389.0,4.0,1,2022,2.0,450856.0
